eeg_node,esg_node,emg_node,eeg_label,esg_label,emg_label,attn_eeg_esg,attn_esg_emg,chain_score
1,5,2,EEG1,ESG5,EMG2,0.14286,0.14286,0.0204082
20,4,2,EEG20,ESG4,EMG2,0.14286,0.14286,0.0204082
4,14,2,EEG4,ESG14,EMG2,0.125,0.125,0.015625
13,14,2,EEG13,ESG14,EMG2,0.125,0.125,0.015625
17,7,3,EEG17,ESG7,EMG3,0.11111,0.11111,0.0123457
1,5,2,EEG1,ESG5,EMG2,0.08333,0.14286,0.0119048
20,4,2,EEG20,ESG4,EMG2,0.08333,0.14286,0.0119048
17,2,7,EEG17,ESG2,EMG7,0.11111,0.1,0.0111111
4,14,2,EEG4,ESG14,EMG2,0.08333,0.125,0.0104167
13,14,2,EEG13,ESG14,EMG2,0.08333,0.125,0.0104167
