eeg_node,esg_node,emg_node,eeg_label,esg_label,emg_label,attn_eeg_esg,attn_esg_emg,chain_score
15,2,5,EEG15,ESG2,EMG5,0.1,0.5,0.05
17,7,6,EEG17,ESG7,EMG6,0.1,0.5,0.05
23,2,5,EEG23,ESG2,EMG5,0.1,0.5,0.05
3,7,6,EEG3,ESG7,EMG6,0.09091,0.5,0.0454545
4,7,6,EEG4,ESG7,EMG6,0.09091,0.5,0.0454545
8,7,6,EEG8,ESG7,EMG6,0.09091,0.5,0.0454545
12,7,6,EEG12,ESG7,EMG6,0.09091,0.5,0.0454545
13,7,6,EEG13,ESG7,EMG6,0.09091,0.5,0.0454545
17,7,6,EEG17,ESG7,EMG6,0.09091,0.5,0.0454545
3,7,6,EEG3,ESG7,EMG6,0.08333,0.5,0.0416667
