eeg_node,esg_node,emg_node,eeg_label,esg_label,emg_label,attn_eeg_esg,attn_esg_emg,chain_score
1,5,3,EEG1,ESG5,EMG3,0.125,0.5,0.0625
9,5,3,EEG9,ESG5,EMG3,0.125,0.5,0.0625
1,5,3,EEG1,ESG5,EMG3,0.08333,0.5,0.0416667
9,5,3,EEG9,ESG5,EMG3,0.08333,0.5,0.0416667
27,7,2,EEG27,ESG7,EMG2,0.14286,0.14286,0.0204082
6,2,2,EEG6,ESG2,EMG2,0.125,0.1,0.0125
27,7,2,EEG27,ESG7,EMG2,0.08333,0.14286,0.0119048
6,1,2,EEG6,ESG1,EMG2,0.125,0.08333,0.0104167
6,2,2,EEG6,ESG2,EMG2,0.1,0.1,0.01
10,2,2,EEG10,ESG2,EMG2,0.1,0.1,0.01
