eeg_node,esg_node,emg_node,eeg_label,esg_label,emg_label,attn_eeg_esg,attn_esg_emg,chain_score
4,7,6,EEG4,ESG7,EMG6,0.11111,0.5,0.0555556
8,7,6,EEG8,ESG7,EMG6,0.11111,0.5,0.0555556
12,7,6,EEG12,ESG7,EMG6,0.11111,0.5,0.0555556
22,7,6,EEG22,ESG7,EMG6,0.11111,0.5,0.0555556
4,7,6,EEG4,ESG7,EMG6,0.08333,0.5,0.0416667
8,7,6,EEG8,ESG7,EMG6,0.08333,0.5,0.0416667
12,7,6,EEG12,ESG7,EMG6,0.08333,0.5,0.0416667
22,7,6,EEG22,ESG7,EMG6,0.08333,0.5,0.0416667
8,3,7,EEG8,ESG3,EMG7,0.11111,0.2,0.0222222
14,3,7,EEG14,ESG3,EMG7,0.11111,0.2,0.0222222
