eeg_node,esg_node,emg_node,eeg_label,esg_label,emg_label,attn_eeg_esg,attn_esg_emg,chain_score
2,5,5,EEG2,ESG5,EMG5,0.1,0.5,0.05
0,5,5,EEG0,ESG5,EMG5,0.08333,0.5,0.0416667
1,5,5,EEG1,ESG5,EMG5,0.08333,0.5,0.0416667
3,5,5,EEG3,ESG5,EMG5,0.08333,0.5,0.0416667
4,5,5,EEG4,ESG5,EMG5,0.08333,0.5,0.0416667
6,5,5,EEG6,ESG5,EMG5,0.08333,0.5,0.0416667
7,5,5,EEG7,ESG5,EMG5,0.08333,0.5,0.0416667
8,5,5,EEG8,ESG5,EMG5,0.08333,0.5,0.0416667
11,5,5,EEG11,ESG5,EMG5,0.08333,0.5,0.0416667
12,12,2,EEG12,ESG12,EMG2,0.08333,0.5,0.0416667
