eeg_node,esg_node,emg_node,eeg_label,esg_label,emg_label,attn_eeg_esg,attn_esg_emg,chain_score
7,5,4,EEG7,ESG5,EMG4,0.11111,0.5,0.0555556
10,5,4,EEG10,ESG5,EMG4,0.11111,0.5,0.0555556
11,5,4,EEG11,ESG5,EMG4,0.11111,0.5,0.0555556
15,5,4,EEG15,ESG5,EMG4,0.11111,0.5,0.0555556
15,5,4,EEG15,ESG5,EMG4,0.11111,0.5,0.0555556
4,3,4,EEG4,ESG3,EMG4,0.08333,0.5,0.0416667
5,3,4,EEG5,ESG3,EMG4,0.08333,0.5,0.0416667
6,3,4,EEG6,ESG3,EMG4,0.08333,0.5,0.0416667
7,5,4,EEG7,ESG5,EMG4,0.08333,0.5,0.0416667
7,3,4,EEG7,ESG3,EMG4,0.08333,0.5,0.0416667
