Subject,Class,Movement,eeg_node,esg_node,emg_node,eeg_label,esg_label,emg_label,imp_eeg_esg,imp_esg_emg,chain_score,EEG_name,ESG_name,EMG_name,ESG_match,EMG_match
NIS004,0,Left Knee Flexion,27,1,2,EEG27,ESG1,EMG2,0.0050261262804269,0.0081578232347965,4.100224975148864e-05,T8,T11T12-L,L-RF,no,YES
NIS004,0,Left Knee Flexion,27,3,2,EEG27,ESG3,EMG2,0.0048891147598624,0.0079354420304298,3.8797286757007166e-05,T8,L1L2-L,L-RF,YES,YES
NIS004,0,Left Knee Flexion,27,4,2,EEG27,ESG4,EMG2,0.004478205461055,0.007268501445651,3.254984286760101e-05,T8,L2L3-L,L-RF,YES,YES
NIS004,0,Left Knee Flexion,27,6,2,EEG27,ESG6,EMG2,0.0043261856772005,0.0070217605680227,3.0377439998111565e-05,T8,T11T12-C,L-RF,no,YES
NIS004,0,Left Knee Flexion,27,7,2,EEG27,ESG7,EMG2,0.0042178784497082,0.0068459692411124,2.887546612945365e-05,T8,T12L1-C,L-RF,no,YES
NIS004,0,Left Knee Flexion,11,14,2,EEG11,ESG14,EMG2,0.0028805769979953,0.0088967205956578,2.5627688705443658e-05,C1,L2L3-R,L-RF,no,YES
NIS004,0,Left Knee Flexion,5,2,2,EEG5,ESG2,EMG2,0.002845634240657,0.0083166165277361,2.366604875774078e-05,F4,T12L1-L,L-RF,YES,YES
NIS004,0,Left Knee Flexion,5,1,2,EEG5,ESG1,EMG2,0.0027913013473153,0.0081578232347965,2.277094298644769e-05,F4,T11T12-L,L-RF,no,YES
NIS004,0,Left Knee Flexion,11,2,2,EEG11,ESG2,EMG2,0.0026927508879452,0.0083166165277361,2.239457653976213e-05,C1,T12L1-L,L-RF,YES,YES
NIS004,1,Left Plantar Flexion,26,3,1,EEG26,ESG3,EMG1,0.0038052594754844,0.0109303621575236,4.15928641703939e-05,Cz2,L1L2-L,R-MH,YES,no
NIS004,1,Left Plantar Flexion,26,7,1,EEG26,ESG7,EMG1,0.0036268744152039,0.0104179624468088,3.778464145688621e-05,Cz2,T12L1-C,R-MH,no,no
NIS004,1,Left Plantar Flexion,25,3,1,EEG25,ESG3,EMG1,0.0028984250966459,0.0109303621575236,3.168083599279568e-05,T7,L1L2-L,R-MH,YES,no
NIS004,1,Left Plantar Flexion,25,7,1,EEG25,ESG7,EMG1,0.0027625511866062,0.0104179624468088,2.878015451945144e-05,T7,T12L1-C,R-MH,no,no
NIS004,1,Left Plantar Flexion,26,4,1,EEG26,ESG4,EMG1,0.0030711141880601,0.0088215768337249,2.7092069775115635e-05,Cz2,L2L3-L,R-MH,YES,no
NIS004,1,Left Plantar Flexion,20,3,1,EEG20,ESG3,EMG1,0.0024645489174872,0.0109303621575236,2.693841222306862e-05,Pz,L1L2-L,R-MH,YES,no
NIS004,1,Left Plantar Flexion,17,3,1,EEG17,ESG3,EMG1,0.0022395390551537,0.0109303621575236,2.4478972938748534e-05,CPz,L1L2-L,R-MH,YES,no
NIS004,1,Left Plantar Flexion,20,7,1,EEG20,ESG7,EMG1,0.0023490143939852,0.0104179624468088,2.4471943743551924e-05,Pz,T12L1-C,R-MH,no,no
NIS004,1,Left Plantar Flexion,11,3,1,EEG11,ESG3,EMG1,0.002109735738486,0.0109303621575236,2.306017567832311e-05,C1,L1L2-L,R-MH,YES,no
NIS004,1,Left Plantar Flexion,6,3,1,EEG6,ESG3,EMG1,0.0020610836800187,0.0109303621575236,2.2528391059566848e-05,FC3,L1L2-L,R-MH,YES,no
NIS004,2,Right Knee Flexion,25,4,2,EEG25,ESG4,EMG2,0.0031059347093105,0.0119231538847088,3.7032537494968015e-05,T7,L2L3-L,L-RF,no,no
NIS004,2,Right Knee Flexion,26,4,2,EEG26,ESG4,EMG2,0.0029606097377836,0.0119231538847088,3.529980549616231e-05,Cz2,L2L3-L,L-RF,no,no
NIS004,2,Right Knee Flexion,20,4,2,EEG20,ESG4,EMG2,0.0029445600230246,0.0119231538847088,3.5108442277285165e-05,Pz,L2L3-L,L-RF,no,no
NIS004,2,Right Knee Flexion,27,4,2,EEG27,ESG4,EMG2,0.0021270134020596,0.0119231538847088,2.536070810759566e-05,T8,L2L3-L,L-RF,no,no
NIS004,2,Right Knee Flexion,12,7,2,EEG12,ESG7,EMG2,0.0023659996222704,0.0089412424713373,2.1154976309812733e-05,Cz,T12L1-C,L-RF,no,no
NIS004,2,Right Knee Flexion,25,7,2,EEG25,ESG7,EMG2,0.0023291583638638,0.0089412424713373,2.082556968544978e-05,T7,T12L1-C,L-RF,no,no
NIS004,2,Right Knee Flexion,26,7,2,EEG26,ESG7,EMG2,0.0022201784886419,0.0089412424713373,1.9851154196595142e-05,Cz2,T12L1-C,L-RF,no,no
NIS004,2,Right Knee Flexion,20,7,2,EEG20,ESG7,EMG2,0.0022081425413489,0.0089412424713373,1.974353787347581e-05,Pz,T12L1-C,L-RF,no,no
NIS004,2,Right Knee Flexion,19,1,2,EEG19,ESG1,EMG2,0.0024867595639079,0.0073109022341668,1.8180456051610666e-05,P3,T11T12-L,L-RF,no,no
NIS004,2,Right Knee Flexion,22,7,2,EEG22,ESG7,EMG2,0.0018755280179902,0.0089412424713373,1.6769550770637893e-05,PO3,T12L1-C,L-RF,no,no
NIS004,3,Right Plantar Flexion,26,1,1,EEG26,ESG1,EMG1,0.0023264556657522,0.0076805297285318,1.7868411902921804e-05,Cz2,T11T12-L,R-MH,no,no
NIS004,3,Right Plantar Flexion,26,7,1,EEG26,ESG7,EMG1,0.0021829397883266,0.0072067282162606,1.5731853766931558e-05,Cz2,T12L1-C,R-MH,no,no
NIS004,3,Right Plantar Flexion,26,2,1,EEG26,ESG2,EMG1,0.0020439554937183,0.0067478874698281,1.379238166494866e-05,Cz2,T12L1-L,R-MH,no,no
NIS004,3,Right Plantar Flexion,26,4,1,EEG26,ESG4,EMG1,0.0020407426636666,0.0067372811026871,1.3749056983368402e-05,Cz2,L2L3-L,R-MH,no,no
NIS004,3,Right Plantar Flexion,23,1,1,EEG23,ESG1,EMG1,0.0017872684402391,0.0076805297285318,1.3727168388123375e-05,POz,T11T12-L,R-MH,no,no
NIS004,3,Right Plantar Flexion,20,1,1,EEG20,ESG1,EMG1,0.001770990085788,0.0076805297285318,1.360214200283043e-05,Pz,T11T12-L,R-MH,no,no
NIS004,3,Right Plantar Flexion,24,1,1,EEG24,ESG1,EMG1,0.0016903490759432,0.0076805297285318,1.298277632937831e-05,PO4,T11T12-L,R-MH,no,no
NIS004,3,Right Plantar Flexion,4,1,1,EEG4,ESG1,EMG1,0.001573990099132,0.0076805297285318,1.2089077748798568e-05,Fz,T11T12-L,R-MH,no,no
NIS004,3,Right Plantar Flexion,23,7,1,EEG23,ESG7,EMG1,0.0016770142829045,0.0072067282162606,1.2085786151680487e-05,POz,T12L1-C,R-MH,no,no
